home,away,date,gh,ga,full_time,winner,year,month
CA Fenix,Danubio,2024-02-17,1,2,F,V,2024,2
Miramar Misiones,CA Progreso,2024-02-17,2,3,F,V,2024,2
Nacional,River Plate,2024-02-17,2,1,F,L,2024,2
CA Cerro,Montevideo Wanderers,2024-02-18,1,1,F,E,2024,2
Deportivo Maldonado,Boston River,2024-02-18,1,2,F,V,2024,2
Racing Club,Liverpool,2024-02-18,2,2,F,E,2024,2
Cerro Largo FC,CA Penarol,2024-02-19,1,2,F,V,2024,2
River Plate,Deportivo Maldonado,2024-02-23,3,1,F,L,2024,2
Boston River,Danubio,2024-02-24,0,0,F,E,2024,2
Montevideo Wanderers,Racing Club,2024-02-24,0,1,F,V,2024,2
CA Penarol,Miramar Misiones,2024-02-25,2,0,F,L,2024,2
Cerro Largo FC,CA Fenix,2024-02-25,0,0,F,E,2024,2
Defensor Sporting,CA Cerro,2024-02-25,5,0,F,L,2024,2
Liverpool,Nacional,2024-02-25,1,1,F,E,2024,2
CA Cerro,CA Progreso,2024-03-01,2,3,F,V,2024,3
Miramar Misiones,Cerro Largo FC,2024-03-01,1,2,F,V,2024,3
Racing Club,Defensor Sporting,2024-03-02,1,2,F,V,2024,3
River Plate,Danubio,2024-03-02,1,0,F,L,2024,3
CA Fenix,Boston River,2024-03-03,1,2,F,V,2024,3
Liverpool,Deportivo Maldonado,2024-03-03,1,2,F,V,2024,3
Nacional,Montevideo Wanderers,2024-03-03,3,0,F,L,2024,3
Rampla Juniors Futbol Club,CA Penarol,2024-03-04,0,3,F,V,2024,3
CA Penarol,CA Cerro,2024-03-09,3,0,F,L,2024,3
Miramar Misiones,CA Fenix,2024-03-09,1,1,F,E,2024,3
River Plate,Boston River,2024-03-09,1,2,F,V,2024,3
CA Progreso,Racing Club,2024-03-10,4,3,F,L,2024,3
Defensor Sporting,Nacional,2024-03-10,3,3,F,E,2024,3
Liverpool,Danubio,2024-03-10,1,2,F,V,2024,3
Cerro Largo FC,Rampla Juniors Futbol Club,2024-03-11,2,0,F,L,2024,3
Montevideo Wanderers,Deportivo Maldonado,2024-03-11,0,0,F,E,2024,3
Boston River,Liverpool,2024-03-15,1,1,F,E,2024,3
CA Fenix,River Plate,2024-03-16,0,0,F,E,2024,3
Racing Club,CA Penarol,2024-03-16,1,2,F,V,2024,3
Nacional,CA Progreso,2024-03-23,0,0,F,E,2024,3
Rampla Juniors Futbol Club,Miramar Misiones,2024-03-23,1,1,F,E,2024,3
CA Cerro,Cerro Largo FC,2024-03-24,1,1,F,E,2024,3
Danubio,Montevideo Wanderers,2024-03-24,0,2,F,V,2024,3
Deportivo Maldonado,Defensor Sporting,2024-03-24,1,0,F,L,2024,3
CA Progreso,Rampla Juniors Futbol Club,2024-03-27,4,2,F,L,2024,3
CA Penarol,Nacional,2024-03-29,0,0,F,E,2024,3
Cerro Largo FC,Racing Club,2024-03-29,0,2,F,V,2024,3
Defensor Sporting,Danubio,2024-03-30,1,0,F,L,2024,3
Liverpool,River Plate,2024-03-30,1,1,F,E,2024,3
Rampla Juniors Futbol Club,CA Fenix,2024-03-30,1,0,F,L,2024,3
CA Progreso,Deportivo Maldonado,2024-03-31,3,1,F,L,2024,3
Miramar Misiones,CA Cerro,2024-03-31,2,2,F,E,2024,3
Montevideo Wanderers,Boston River,2024-04-01,0,2,F,V,2024,4
Boston River,Defensor Sporting,2024-04-06,2,2,F,E,2024,4
Danubio,CA Progreso,2024-04-06,1,1,F,E,2024,4
Nacional,Cerro Largo FC,2024-04-06,1,0,F,L,2024,4
Racing Club,Miramar Misiones,2024-04-06,1,1,F,E,2024,4
River Plate,Montevideo Wanderers,2024-04-06,3,1,F,L,2024,4
CA Cerro,Rampla Juniors Futbol Club,2024-04-07,3,0,F,L,2024,4
CA Fenix,Liverpool,2024-04-07,1,3,F,V,2024,4
Deportivo Maldonado,CA Penarol,2024-04-07,1,2,F,V,2024,4
CA Cerro,CA Fenix,2024-04-13,0,0,F,E,2024,4
CA Progreso,Boston River,2024-04-13,1,0,F,L,2024,4
CA Penarol,Danubio,2024-04-14,2,0,F,L,2024,4
Defensor Sporting,River Plate,2024-04-14,2,1,F,L,2024,4
Deportivo Maldonado,Cerro Largo FC,2024-04-14,0,1,F,V,2024,4
Rampla Juniors Futbol Club,Racing Club,2024-04-14,0,1,F,V,2024,4
Montevideo Wanderers,Liverpool,2024-04-16,2,3,F,V,2024,4
Miramar Misiones,Nacional,2024-04-17,1,2,F,V,2024,4
Liverpool,Defensor Sporting,2024-04-19,1,1,F,E,2024,4
Racing Club,CA Cerro,2024-04-19,1,1,F,E,2024,4
Boston River,CA Penarol,2024-04-20,1,3,F,V,2024,4
Danubio,Cerro Largo FC,2024-04-20,1,1,F,E,2024,4
Nacional,Rampla Juniors Futbol Club,2024-04-20,6,2,F,L,2024,4
CA Fenix,Montevideo Wanderers,2024-04-21,1,2,F,V,2024,4
Deportivo Maldonado,Miramar Misiones,2024-04-21,1,2,F,V,2024,4
River Plate,CA Progreso,2024-04-21,2,2,F,E,2024,4
Rampla Juniors Futbol Club,Defensor Sporting,2024-04-24,2,1,F,L,2024,4
Cerro Largo FC,Boston River,2024-04-27,2,0,F,L,2024,4
Rampla Juniors Futbol Club,Deportivo Maldonado,2024-04-27,1,1,F,E,2024,4
CA Cerro,Nacional,2024-04-28,1,2,F,V,2024,4
