home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
Bella Vista;Defensor Sporting;05/03/1932;1;2;F;Bella Vista (Uruguay);Defensor Sporting (Uruguay);V;1932;3
CA Penarol;River Plate;05/03/1932;1;1;F;CA Penarol (Uruguay);River Plate (Uruguay);E;1932;3
Central Espanol;Rampla Juniors Futbol Club;05/03/1932;1;0;F;Central Espanol (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1932;3
Montevideo Wanderers;Racing Club;05/03/1932;3;0;F;Montevideo Wanderers (Uruguay);Racing Club (Uruguay);L;1932;3
Nacional;Institucion Atletica Sud America;05/03/1932;2;0;F;Nacional (Uruguay);Institucion Atletica Sud America (Uruguay);L;1932;3
CA Penarol;Institucion Atletica Sud America;12/03/1932;4;0;F;CA Penarol (Uruguay);Institucion Atletica Sud America (Uruguay);L;1932;3
Defensor Sporting;Racing Club;12/03/1932;6;0;F;Defensor Sporting (Uruguay);Racing Club (Uruguay);L;1932;3
Montevideo Wanderers;Central Espanol;12/03/1932;1;1;F;Montevideo Wanderers (Uruguay);Central Espanol (Uruguay);E;1932;3
Nacional;River Plate;12/03/1932;3;3;F;Nacional (Uruguay);River Plate (Uruguay);E;1932;3
Rampla Juniors Futbol Club;Bella Vista;12/03/1932;3;1;F;Rampla Juniors Futbol Club (Uruguay);Bella Vista (Uruguay);L;1932;3
CA Penarol;Central Espanol;19/03/1932;2;1;F;CA Penarol (Uruguay);Central Espanol (Uruguay);L;1932;3
Defensor Sporting;Rampla Juniors Futbol Club;19/03/1932;2;2;F;Defensor Sporting (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1932;3
Montevideo Wanderers;Institucion Atletica Sud America;19/03/1932;2;0;F;Montevideo Wanderers (Uruguay);Institucion Atletica Sud America (Uruguay);L;1932;3
Racing Club;Nacional;19/03/1932;3;0;F;Racing Club (Uruguay);Nacional (Uruguay);L;1932;3
River Plate;Bella Vista;19/03/1932;3;1;F;River Plate (Uruguay);Bella Vista (Uruguay);L;1932;3
Bella Vista;Racing Club;26/03/1932;2;1;F;Bella Vista (Uruguay);Racing Club (Uruguay);L;1932;3
CA Penarol;Rampla Juniors Futbol Club;26/03/1932;1;1;F;CA Penarol (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1932;3
Central Espanol;Institucion Atletica Sud America;26/03/1932;1;0;F;Central Espanol (Uruguay);Institucion Atletica Sud America (Uruguay);L;1932;3
Defensor Sporting;River Plate;26/03/1932;3;0;F;Defensor Sporting (Uruguay);River Plate (Uruguay);L;1932;3
Nacional;Montevideo Wanderers;26/03/1932;3;1;F;Nacional (Uruguay);Montevideo Wanderers (Uruguay);L;1932;3
CA Penarol;Bella Vista;02/04/1932;2;0;F;CA Penarol (Uruguay);Bella Vista (Uruguay);L;1932;4
Defensor Sporting;Montevideo Wanderers;02/04/1932;2;1;F;Defensor Sporting (Uruguay);Montevideo Wanderers (Uruguay);L;1932;4
Nacional;Central Espanol;02/04/1932;4;2;F;Nacional (Uruguay);Central Espanol (Uruguay);L;1932;4
Rampla Juniors Futbol Club;Institucion Atletica Sud America;02/04/1932;7;0;F;Rampla Juniors Futbol Club (Uruguay);Institucion Atletica Sud America (Uruguay);L;1932;4
River Plate;Racing Club;02/04/1932;4;3;F;River Plate (Uruguay);Racing Club (Uruguay);L;1932;4
Bella Vista;Institucion Atletica Sud America;09/04/1932;1;1;F;Bella Vista (Uruguay);Institucion Atletica Sud America (Uruguay);E;1932;4
Nacional;Defensor Sporting;09/04/1932;1;1;F;Nacional (Uruguay);Defensor Sporting (Uruguay);E;1932;4
Racing Club;CA Penarol;09/04/1932;1;4;F;Racing Club (Uruguay);CA Penarol (Uruguay);V;1932;4
Rampla Juniors Futbol Club;Montevideo Wanderers;09/04/1932;0;0;F;Rampla Juniors Futbol Club (Uruguay);Montevideo Wanderers (Uruguay);E;1932;4
River Plate;Central Espanol;09/04/1932;2;0;F;River Plate (Uruguay);Central Espanol (Uruguay);L;1932;4
CA Penarol;Montevideo Wanderers;16/04/1932;3;2;F;CA Penarol (Uruguay);Montevideo Wanderers (Uruguay);L;1932;4
