home,away,date,gh,ga,full_time,winner,year,month
Bella Vista,Defensor Sporting,1932-03-05,1,2,F,V,1932,3
CA Penarol,River Plate,1932-03-05,1,1,F,E,1932,3
Central Espanol,Rampla Juniors Futbol Club,1932-03-05,1,0,F,L,1932,3
Montevideo Wanderers,Racing Club,1932-03-05,3,0,F,L,1932,3
Nacional,Institucion Atletica Sud America,1932-03-05,2,0,F,L,1932,3
CA Penarol,Institucion Atletica Sud America,1932-03-12,4,0,F,L,1932,3
Defensor Sporting,Racing Club,1932-03-12,6,0,F,L,1932,3
Montevideo Wanderers,Central Espanol,1932-03-12,1,1,F,E,1932,3
Nacional,River Plate,1932-03-12,3,3,F,E,1932,3
Rampla Juniors Futbol Club,Bella Vista,1932-03-12,3,1,F,L,1932,3
CA Penarol,Central Espanol,1932-03-19,2,1,F,L,1932,3
Defensor Sporting,Rampla Juniors Futbol Club,1932-03-19,2,2,F,E,1932,3
Montevideo Wanderers,Institucion Atletica Sud America,1932-03-19,2,0,F,L,1932,3
Racing Club,Nacional,1932-03-19,3,0,F,L,1932,3
River Plate,Bella Vista,1932-03-19,3,1,F,L,1932,3
Bella Vista,Racing Club,1932-03-26,2,1,F,L,1932,3
CA Penarol,Rampla Juniors Futbol Club,1932-03-26,1,1,F,E,1932,3
Central Espanol,Institucion Atletica Sud America,1932-03-26,1,0,F,L,1932,3
Defensor Sporting,River Plate,1932-03-26,3,0,F,L,1932,3
Nacional,Montevideo Wanderers,1932-03-26,3,1,F,L,1932,3
CA Penarol,Bella Vista,1932-04-02,2,0,F,L,1932,4
Defensor Sporting,Montevideo Wanderers,1932-04-02,2,1,F,L,1932,4
Nacional,Central Espanol,1932-04-02,4,2,F,L,1932,4
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-04-02,7,0,F,L,1932,4
River Plate,Racing Club,1932-04-02,4,3,F,L,1932,4
Bella Vista,Institucion Atletica Sud America,1932-04-09,1,1,F,E,1932,4
Nacional,Defensor Sporting,1932-04-09,1,1,F,E,1932,4
Racing Club,CA Penarol,1932-04-09,1,4,F,V,1932,4
Rampla Juniors Futbol Club,Montevideo Wanderers,1932-04-09,0,0,F,E,1932,4
River Plate,Central Espanol,1932-04-09,2,0,F,L,1932,4
CA Penarol,Montevideo Wanderers,1932-04-16,3,2,F,L,1932,4
Central Espanol,Defensor Sporting,1932-04-16,2,0,F,L,1932,4
Nacional,Bella Vista,1932-04-16,3,0,F,L,1932,4
Rampla Juniors Futbol Club,Racing Club,1932-04-16,2,1,F,L,1932,4
River Plate,Institucion Atletica Sud America,1932-04-16,2,1,F,L,1932,4
Bella Vista,Central Espanol,1932-04-23,2,2,F,E,1932,4
CA Penarol,Defensor Sporting,1932-04-23,6,2,F,L,1932,4
Institucion Atletica Sud America,Racing Club,1932-04-23,3,0,F,L,1932,4
Rampla Juniors Futbol Club,Nacional,1932-04-23,2,1,F,L,1932,4
River Plate,Montevideo Wanderers,1932-04-23,1,0,F,L,1932,4
Bella Vista,Montevideo Wanderers,1932-04-30,4,1,F,L,1932,4
CA Penarol,Nacional,1932-04-30,2,0,F,L,1932,4
Central Espanol,Racing Club,1932-04-30,0,0,F,E,1932,4
Defensor Sporting,Institucion Atletica Sud America,1932-04-30,1,0,F,L,1932,4
River Plate,Rampla Juniors Futbol Club,1932-04-30,0,4,F,V,1932,4
Defensor Sporting,Bella Vista,1932-05-07,1,1,F,E,1932,5
Institucion Atletica Sud America,Nacional,1932-05-07,4,5,F,V,1932,5
Racing Club,Montevideo Wanderers,1932-05-07,0,0,F,E,1932,5
Rampla Juniors Futbol Club,Central Espanol,1932-05-07,4,0,F,L,1932,5
River Plate,CA Penarol,1932-05-07,1,3,F,V,1932,5
Bella Vista,Rampla Juniors Futbol Club,1932-05-14,1,2,F,V,1932,5
Central Espanol,Montevideo Wanderers,1932-05-14,1,2,F,V,1932,5
Institucion Atletica Sud America,CA Penarol,1932-05-14,0,0,F,E,1932,5
Racing Club,Defensor Sporting,1932-05-14,2,1,F,L,1932,5
River Plate,Nacional,1932-05-14,0,2,F,V,1932,5
Bella Vista,River Plate,1932-05-21,0,1,F,V,1932,5
Central Espanol,CA Penarol,1932-05-21,1,1,F,E,1932,5
Institucion Atletica Sud America,Montevideo Wanderers,1932-05-21,1,2,F,V,1932,5
Nacional,Racing Club,1932-05-21,6,0,F,L,1932,5
Rampla Juniors Futbol Club,Defensor Sporting,1932-05-21,6,2,F,L,1932,5
Institucion Atletica Sud America,Central Espanol,1932-05-28,2,1,F,L,1932,5
Montevideo Wanderers,Nacional,1932-05-28,1,0,F,L,1932,5
Racing Club,Bella Vista,1932-05-28,0,2,F,V,1932,5
Rampla Juniors Futbol Club,CA Penarol,1932-05-28,0,1,F,V,1932,5
River Plate,Defensor Sporting,1932-05-28,1,2,F,V,1932,5
Bella Vista,CA Penarol,1932-06-04,2,0,F,L,1932,6
Central Espanol,Nacional,1932-06-04,1,0,F,L,1932,6
Montevideo Wanderers,Defensor Sporting,1932-06-04,1,3,F,V,1932,6
Racing Club,River Plate,1932-06-04,1,2,F,V,1932,6
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-06-04,2,3,F,V,1932,6
Central Espanol,River Plate,1932-06-11,0,1,F,V,1932,6
Defensor Sporting,Nacional,1932-06-11,0,0,F,E,1932,6
Institucion Atletica Sud America,Bella Vista,1932-06-11,1,0,F,L,1932,6
Montevideo Wanderers,Rampla Juniors Futbol Club,1932-06-11,2,1,F,L,1932,6
Racing Club,CA Penarol,1932-06-11,0,1,F,V,1932,6
Bella Vista,Nacional,1932-06-18,0,0,F,E,1932,6
Defensor Sporting,Central Espanol,1932-06-18,6,0,F,L,1932,6
Institucion Atletica Sud America,River Plate,1932-06-18,0,1,F,V,1932,6
Montevideo Wanderers,CA Penarol,1932-06-18,1,2,F,V,1932,6
Racing Club,Rampla Juniors Futbol Club,1932-06-18,0,3,F,V,1932,6
Bella Vista,Central Espanol,1932-06-25,0,1,F,V,1932,6
Defensor Sporting,CA Penarol,1932-06-25,2,1,F,L,1932,6
Montevideo Wanderers,River Plate,1932-06-25,1,0,F,L,1932,6
Nacional,Rampla Juniors Futbol Club,1932-06-25,2,3,F,V,1932,6
Racing Club,Institucion Atletica Sud America,1932-06-25,0,2,F,V,1932,6
Institucion Atletica Sud America,Defensor Sporting,1932-08-06,1,1,F,E,1932,8
Montevideo Wanderers,Bella Vista,1932-08-06,1,1,F,E,1932,8
Nacional,CA Penarol,1932-08-06,0,2,F,V,1932,8
Racing Club,Central Espanol,1932-08-06,1,1,F,E,1932,8
Rampla Juniors Futbol Club,River Plate,1932-08-06,3,0,F,L,1932,8
CA Penarol,River Plate,1932-08-13,3,1,F,L,1932,8
Central Espanol,Rampla Juniors Futbol Club,1932-08-13,2,0,F,L,1932,8
Defensor Sporting,Bella Vista,1932-08-13,2,3,F,V,1932,8
Montevideo Wanderers,Racing Club,1932-08-13,1,0,F,L,1932,8
Nacional,Institucion Atletica Sud America,1932-08-13,2,0,F,L,1932,8
CA Penarol,Institucion Atletica Sud America,1932-08-20,0,1,F,V,1932,8
Defensor Sporting,Racing Club,1932-08-20,1,0,F,L,1932,8
Montevideo Wanderers,Central Espanol,1932-08-20,3,0,F,L,1932,8
