source_line,date,home,away,gh,ga,full_time,exact_duplicate,ambiguous_fixture,extra_time_or_penalties,team_date_warning,included,reason
897,1939-09-02,Montevideo Wanderers,Nacional,0,1,F,False,False,False,True,True,included
900,1939-09-02,Nacional,CA Penarol,3,2,F,False,False,False,True,True,included
1513,1946-04-13,Liverpool,Defensor Sporting,2,1,F,False,False,False,True,True,included
1516,1946-04-13,CA Penarol,Liverpool,3,1,F,False,False,False,True,True,included
1523,1946-04-27,Rampla Juniors Futbol Club,Central Espanol,0,0,F,False,False,False,True,True,included
1525,1946-04-27,Central Espanol,Montevideo Wanderers,1,0,F,False,False,False,True,True,included
1558,1946-06-15,Defensor Sporting,Liverpool,3,1,F,False,False,False,True,True,included
1561,1946-06-15,Liverpool,CA Penarol,3,3,F,False,False,False,True,True,included
1568,1946-06-29,Central Espanol,Rampla Juniors Futbol Club,1,2,F,False,False,False,True,True,included
1570,1946-06-29,Montevideo Wanderers,Central Espanol,4,3,F,False,False,False,True,True,included
1603,1947-04-12,Montevideo Wanderers,Nacional,1,0,F,False,False,False,True,True,included
1606,1947-04-12,Montevideo Wanderers,CA Cerro,2,2,F,False,False,False,True,True,included
1613,1947-04-26,Liverpool,CA Penarol,1,0,F,False,False,False,True,True,included
1617,1947-04-26,Rampla Juniors Futbol Club,Liverpool,2,1,F,False,False,False,True,True,included
1648,1947-06-14,Nacional,Montevideo Wanderers,4,1,F,False,False,False,True,True,included
1651,1947-06-14,CA Cerro,Montevideo Wanderers,1,0,F,False,False,False,True,True,included
1658,1947-06-28,CA Penarol,Liverpool,3,2,F,False,False,False,True,True,included
1662,1947-06-28,Liverpool,Rampla Juniors Futbol Club,3,2,F,False,False,False,True,True,included
4524,1976-03-13,River Plate,Rentistas,1,1,F,False,False,False,True,True,included
4525,1976-03-13,River Plate,Institucion Atletica Sud America,1,1,F,False,False,False,True,True,included
4570,1976-05-08,CA Fenix,Club Social Y Deportivo Huracan Buceo,2,0,F,False,False,False,True,True,included
4573,1976-05-08,CA Cerro,Club Social Y Deportivo Huracan Buceo,1,1,F,False,False,False,True,True,included
4590,1976-05-29,Rentistas,River Plate,2,2,F,False,False,False,True,True,included
4591,1976-05-29,Institucion Atletica Sud America,River Plate,0,1,F,False,False,False,True,True,included
4636,1976-08-28,Club Social Y Deportivo Huracan Buceo,CA Fenix,1,0,F,False,False,False,True,True,included
4639,1976-08-28,Club Social Y Deportivo Huracan Buceo,CA Cerro,2,0,F,False,False,False,True,True,included
5791,1983-10-01,Defensor Sporting,River Plate,1,1,F,False,False,False,True,True,included
5794,1983-10-01,Danubio,Bella Vista,3,0,F,False,False,False,True,True,included
5796,1983-10-01,Danubio,Defensor Sporting,2,1,F,False,False,False,True,True,included
5953,1984-09-29,Danubio,Central Espanol,2,1,F,False,False,False,True,True,included
5954,1984-09-29,Rampla Juniors Futbol Club,Bella Vista,2,0,F,False,False,False,True,True,included
5955,1984-09-29,Danubio,Rampla Juniors Futbol Club,1,0,F,False,False,False,True,True,included
6262,1986-09-20,Club Social Y Deportivo Huracan Buceo,Nacional,1,0,F,False,False,False,True,True,included
6263,1986-09-20,Danubio,CA Penarol,0,1,F,False,False,False,True,True,included
6268,1986-09-20,CA Penarol,Nacional,0,0,F,False,False,False,True,True,included
6420,1987-09-26,Miramar Misiones,Danubio,0,3,F,False,False,False,True,True,included
6425,1987-09-26,Rampla Juniors Futbol Club,Miramar Misiones,2,1,F,False,True,False,True,False,ambiguous_fixture
6426,1987-09-26,Miramar Misiones,Rampla Juniors Futbol Club,1,0,F,False,True,False,True,False,ambiguous_fixture
6427,1987-09-26,Rampla Juniors Futbol Club,Miramar Misiones,1,2,F,False,True,False,True,False,ambiguous_fixture
7486,1994-10-01,Central Espanol,CA Penarol,1,3,F,False,False,False,True,True,included
7490,1994-10-01,Nacional,Defensor Sporting,0,0,F,False,False,False,True,True,included
7491,1994-10-01,CA Penarol,Defensor Sporting,1,1,F,False,True,False,True,False,ambiguous_fixture
7492,1994-10-01,Defensor Sporting,CA Penarol,1,1,F,False,True,False,True,False,ambiguous_fixture
7493,1994-10-01,CA Penarol,Defensor Sporting,2,1,F,False,True,False,True,False,ambiguous_fixture
7494,1994-10-08,River Plate,Central Espanol,2,1,F,False,False,False,True,True,included
7496,1994-10-08,CA Penarol,River Plate,4,2,F,False,False,False,True,True,included
7498,1994-10-15,River Plate,Montevideo Wanderers,2,1,F,False,True,False,True,False,ambiguous_fixture
7499,1994-10-15,Montevideo Wanderers,River Plate,0,3,F,False,True,False,True,False,ambiguous_fixture
7500,1994-10-15,Institucion Atletica Sud America,CA Basanez,2,0,F,False,True,False,True,False,ambiguous_fixture
