model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
ID3,"{""min_info_gain"": 0.005}",current,0,6,three_class,2021,13744,364,0.5273573923166472,0.4551475366502746,0.4423076923076923,0.404642200580074,0.23225806451612904,0.1782178217821782,101,54,"[[18, 53, 30], [13, 90, 35], [23, 49, 53]]"
ID3,"{""min_info_gain"": 0.005}",current,0,6,never_draw,2021,13744,364,0.5143335273573924,0.3755915728365325,0.43956043956043955,0.3347724867724868,0.0,0.0,101,0,"[[0, 68, 33], [0, 102, 36], [0, 67, 58]]"
ID3,"{""min_info_gain"": 0.005}",current,0,6,three_class,2022,14108,297,0.5275730082222853,0.4586993400859101,0.41414141414141414,0.3708741602546912,0.21238938053097345,0.1518987341772152,79,34,"[[12, 46, 21], [9, 73, 24], [13, 61, 38]]"
ID3,"{""min_info_gain"": 0.005}",current,0,6,never_draw,2022,14108,297,0.5143889991494188,0.37770167179452624,0.39057239057239057,0.29283518712171624,0.0,0.0,79,0,"[[0, 58, 21], [0, 77, 29], [0, 73, 39]]"
ID3,"{""min_info_gain"": 0.005}",current,0,6,three_class,2023,14405,300,0.5255119750086775,0.46232951359142566,0.41333333333333333,0.3698776931411733,0.24817518248175183,0.1827956989247312,93,44,"[[17, 53, 23], [20, 81, 18], [7, 55, 26]]"
ID3,"{""min_info_gain"": 0.005}",current,0,6,never_draw,2023,14405,300,0.5121832696980215,0.3738979452581202,0.41,0.2944354983002326,0.0,0.0,93,0,"[[0, 67, 26], [0, 97, 22], [0, 62, 26]]"
NB propio,"{""m"": 0.1}",current,0,6,three_class,2021,13744,364,0.4832654249126892,0.39633801444082956,0.44505494505494503,0.36201298701298706,0.05357142857142857,0.0297029702970297,101,11,"[[3, 53, 45], [5, 77, 56], [3, 40, 82]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2021,13744,364,0.48537543655413273,0.3636762094417509,0.45054945054945056,0.34884162681048814,0.0,0.0,101,0,"[[0, 56, 45], [0, 81, 57], [0, 42, 83]]"
NB propio,"{""m"": 0.1}",current,0,6,three_class,2022,14108,297,0.48468953785086477,0.3953220735475351,0.4713804713804714,0.40363525943463247,0.15384615384615385,0.08860759493670886,79,12,"[[7, 37, 35], [4, 70, 32], [1, 48, 63]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2022,14108,297,0.48511482846611853,0.3639522962349718,0.46464646464646464,0.3569555394174131,0.0,0.0,79,0,"[[0, 44, 35], [0, 74, 32], [0, 48, 64]]"
NB propio,"{""m"": 0.1}",current,0,6,three_class,2023,14405,300,0.4839291912530371,0.3948445176610899,0.38666666666666666,0.3247979678327937,0.07407407407407407,0.043010752688172046,93,15,"[[4, 43, 46], [5, 68, 46], [6, 38, 44]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2023,14405,300,0.4853175980562305,0.36420838099309494,0.3933333333333333,0.30591016548463357,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 43, 45]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,three_class,2021,13744,364,0.4832654249126892,0.39633801444082956,0.44505494505494503,0.36201298701298706,0.05357142857142857,0.0297029702970297,101,11,"[[3, 53, 45], [5, 77, 56], [3, 40, 82]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,never_draw,2021,13744,364,0.48537543655413273,0.3636762094417509,0.45054945054945056,0.34884162681048814,0.0,0.0,101,0,"[[0, 56, 45], [0, 81, 57], [0, 42, 83]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,three_class,2022,14108,297,0.48468953785086477,0.3953220735475351,0.4713804713804714,0.40363525943463247,0.15384615384615385,0.08860759493670886,79,12,"[[7, 37, 35], [4, 70, 32], [1, 48, 63]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,never_draw,2022,14108,297,0.48511482846611853,0.3639522962349718,0.46464646464646464,0.3569555394174131,0.0,0.0,79,0,"[[0, 44, 35], [0, 74, 32], [0, 48, 64]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,three_class,2023,14405,300,0.4839291912530371,0.3948445176610899,0.38666666666666666,0.3247979678327937,0.07407407407407407,0.043010752688172046,93,15,"[[4, 43, 46], [5, 68, 46], [6, 38, 44]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,never_draw,2023,14405,300,0.4853175980562305,0.36420838099309494,0.3933333333333333,0.30591016548463357,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 43, 45]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,three_class,2021,13744,364,0.5960419091967404,0.5892549761304468,0.43956043956043955,0.4268834051442747,0.30917874396135264,0.31683168316831684,101,106,"[[32, 20, 49], [44, 50, 44], [30, 17, 78]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,never_draw,2021,13744,364,0.5413998835855646,0.4140956667114129,0.4532967032967033,0.3497308437239373,0.0,0.0,101,0,"[[0, 36, 65], [0, 70, 68], [0, 30, 95]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,three_class,2022,14108,297,0.5951233342784236,0.5880085239022489,0.45454545454545453,0.43186583907227244,0.28187919463087246,0.26582278481012656,79,70,"[[21, 21, 37], [28, 45, 33], [21, 22, 69]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,never_draw,2022,14108,297,0.5404026084491069,0.41357444765321266,0.4781144781144781,0.3662852784134249,0.0,0.0,79,0,"[[0, 32, 47], [0, 61, 45], [0, 31, 81]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,three_class,2023,14405,300,0.5981950711558487,0.5906770417962091,0.41,0.4095526089004507,0.3854166666666667,0.3978494623655914,93,99,"[[37, 18, 38], [35, 41, 43], [27, 16, 45]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",current,0,6,never_draw,2023,14405,300,0.5412703922249219,0.41409113026968275,0.37333333333333335,0.2950511502310848,0.0,0.0,93,0,"[[0, 36, 57], [0, 57, 62], [0, 33, 55]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2021,13744,364,0.5683934807916181,0.5249468538261289,0.42032967032967034,0.39927321308075614,0.2594594594594595,0.2376237623762376,101,84,"[[24, 51, 26], [32, 80, 26], [28, 48, 49]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2021,13744,364,0.5369615832363213,0.3977040695947555,0.4423076923076923,0.3389359856751161,0.0,0.0,101,0,"[[0, 68, 33], [0, 99, 39], [0, 63, 62]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2022,14108,297,0.5676212078253473,0.5292112860057955,0.3939393939393939,0.3687369765620087,0.2446043165467626,0.21518987341772153,79,60,"[[17, 40, 22], [19, 64, 23], [24, 52, 36]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2022,14108,297,0.5361497022965693,0.39792163882942294,0.3872053872053872,0.29010602923646406,0.0,0.0,79,0,"[[0, 53, 26], [0, 76, 30], [0, 73, 39]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2023,14405,300,0.5664699757028809,0.5293848441793177,0.4,0.3800486312214804,0.32098765432098764,0.27956989247311825,93,69,"[[26, 48, 19], [25, 67, 27], [18, 43, 27]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2023,14405,300,0.5351614022908713,0.3987378600524016,0.3933333333333333,0.29523809523809524,0.0,0.0,93,0,"[[0, 66, 27], [0, 85, 34], [0, 55, 33]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2021,13744,364,0.47657159487776485,0.40489295167833245,0.4258241758241758,0.3695223884453402,0.12030075187969924,0.07920792079207921,101,32,"[[8, 49, 44], [13, 75, 50], [11, 42, 72]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2021,13744,364,0.48268335273573926,0.36214215903333774,0.4423076923076923,0.3423632610939113,0.0,0.0,101,0,"[[0, 55, 46], [0, 83, 55], [0, 47, 78]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2022,14108,297,0.47618372554578964,0.40183730456139805,0.48484848484848486,0.419491730927785,0.16666666666666666,0.10126582278481013,79,17,"[[8, 37, 34], [7, 72, 27], [2, 46, 64]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2022,14108,297,0.48171250354408846,0.3620284045329684,0.4713804713804714,0.3618575002017268,0.0,0.0,79,0,"[[0, 42, 37], [0, 76, 30], [0, 48, 64]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2023,14405,300,0.47684831655675114,0.3992259978224106,0.38,0.32481169363860096,0.08695652173913043,0.053763440860215055,93,22,"[[5, 43, 45], [7, 67, 45], [10, 36, 42]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2023,14405,300,0.48163832002776813,0.3623384011917074,0.3933333333333333,0.30527511357900056,0.0,0.0,93,0,"[[0, 46, 47], [0, 74, 45], [0, 44, 44]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,three_class,2021,13744,364,0.47657159487776485,0.40489295167833245,0.4258241758241758,0.3695223884453402,0.12030075187969924,0.07920792079207921,101,32,"[[8, 49, 44], [13, 75, 50], [11, 42, 72]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,never_draw,2021,13744,364,0.48268335273573926,0.36214215903333774,0.4423076923076923,0.3423632610939113,0.0,0.0,101,0,"[[0, 55, 46], [0, 83, 55], [0, 47, 78]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,three_class,2022,14108,297,0.47618372554578964,0.40183730456139805,0.48484848484848486,0.419491730927785,0.16666666666666666,0.10126582278481013,79,17,"[[8, 37, 34], [7, 72, 27], [2, 46, 64]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,never_draw,2022,14108,297,0.48171250354408846,0.3620284045329684,0.4713804713804714,0.3618575002017268,0.0,0.0,79,0,"[[0, 42, 37], [0, 76, 30], [0, 48, 64]]"
