model,variant,variant_rank,n_features,parameters,decision,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,draw_recall_mean,draw_recall_std,draw_f1_mean,draw_f1_std,true_draws_total,predicted_draws_total
NB propio,current,0,6,"{""m"": 0.1}",three_class,0.43436736103402773,0.03540033442803695,0.3634820714268044,0.03220194914949022,0.48396138467219707,0.000581837163559054,0.39550153521648485,0.0006227830150434107,0.053773772640636874,0.02522327826774626,0.09383055216388551,0.043255010901361135,273,38
NB propio,current,0,6,"{""m"": 0.1}",never_draw,0.43617641617641617,0.030836436913034112,0.3372357772375116,0.022396865230313544,0.48526928769216054,0.00011174244893811028,0.3639456288899392,0.00021730927289974106,0.0,0.0,0.0,0.0,273,0
CategoricalNB,current,0,6,"{""alpha"": 0.025}",three_class,0.43436736103402773,0.03540033442803695,0.3634820714268044,0.03220194914949022,0.48396138467219707,0.000581837163559054,0.39550153521648485,0.0006227830150434107,0.053773772640636874,0.02522327826774626,0.09383055216388551,0.043255010901361135,273,38
CategoricalNB,current,0,6,"{""alpha"": 0.025}",never_draw,0.43617641617641617,0.030836436913034112,0.3372357772375116,0.022396865230313544,0.48526928769216054,0.00011174244893811028,0.3639456288899392,0.00021730927289974106,0.0,0.0,0.0,0.0,273,0
NB propio,plus_points,1,8,"{""m"": 0.1}",three_class,0.4302242202242203,0.04291714099515881,0.3712752710039087,0.038672831231743914,0.47653454566010184,0.0002725800021520122,0.4019854180207137,0.0023158935926778897,0.0780790614790348,0.019409187079645375,0.12464131342849877,0.032685951691936346,273,71
NB propio,plus_points,1,8,"{""m"": 0.1}",never_draw,0.435673832340499,0.032206055464622435,0.3364986249582129,0.023468945250181457,0.48201139210253197,0.00047611211421869163,0.36216965491933784,0.00012804035800619636,0.0,0.0,0.0,0.0,273,0
CategoricalNB,plus_points,1,8,"{""alpha"": 0.025}",three_class,0.4302242202242203,0.04291714099515881,0.3712752710039087,0.038672831231743914,0.47653454566010184,0.0002725800021520122,0.4019854180207137,0.0023158935926778897,0.0780790614790348,0.019409187079645375,0.12464131342849877,0.032685951691936346,273,71
CategoricalNB,plus_points,1,8,"{""alpha"": 0.025}",never_draw,0.435673832340499,0.032206055464622435,0.3364986249582129,0.023468945250181457,0.48201139210253197,0.00047611211421869163,0.36216965491933784,0.00012804035800619636,0.0,0.0,0.0,0.0,273,0
NB propio,plus_goal_difference,2,8,"{""m"": 0.1}",three_class,0.4261592728259395,0.04298856088243601,0.36929027104374285,0.03894638888337089,0.4786943487013104,0.00031090277677229666,0.4093300271753672,0.00383527367875398,0.0780790614790348,0.019409187079645375,0.11895796323499679,0.028860702703363734,273,85
NB propio,plus_goal_difference,2,8,"{""m"": 0.1}",never_draw,0.446254979588313,0.03614161913824812,0.3451945510816541,0.025902525553822088,0.4849642918580969,0.00018782646243949326,0.36472206555344777,0.00016541047384943043,0.0,0.0,0.0,0.0,273,0
CategoricalNB,plus_goal_difference,2,8,"{""alpha"": 0.025}",three_class,0.4261592728259395,0.04298856088243601,0.36929027104374285,0.03894638888337089,0.4786943487013104,0.00031090277677229666,0.4093300271753672,0.00383527367875398,0.0780790614790348,0.019409187079645375,0.11895796323499679,0.028860702703363734,273,85
CategoricalNB,plus_goal_difference,2,8,"{""alpha"": 0.025}",never_draw,0.446254979588313,0.03614161913824812,0.3451945510816541,0.025902525553822088,0.4849642918580969,0.00018782646243949326,0.36472206555344777,0.00016541047384943043,0.0,0.0,0.0,0.0,273,0
NB propio,plus_points_and_goals,3,10,"{""m"": 0.1}",three_class,0.4276498809832143,0.03709629834015805,0.3857983021252314,0.033245895298926714,0.47352405157436667,0.0008708226971348186,0.41432343134427546,0.0019866199344165682,0.12966339508593572,0.01572426081372358,0.18089799175503277,0.022515396332600624,273,119
NB propio,plus_points_and_goals,3,10,"{""m"": 0.1}",never_draw,0.44144719478052813,0.02919894203695175,0.3414271771368172,0.020411184256088618,0.48220117451267924,0.0004674420380240821,0.36293904728179266,7.474251213773769e-05,0.0,0.0,0.0,0.0,273,0
CategoricalNB,plus_points_and_goals,3,10,"{""alpha"": 0.025}",three_class,0.4276498809832143,0.03709629834015805,0.3857983021252314,0.033245895298926714,0.47352405157436667,0.0008708226971348186,0.41432343134427546,0.0019866199344165682,0.12966339508593572,0.01572426081372358,0.18089799175503277,0.022515396332600624,273,119
CategoricalNB,plus_points_and_goals,3,10,"{""alpha"": 0.025}",never_draw,0.44144719478052813,0.02919894203695175,0.3414271771368172,0.020411184256088618,0.48220117451267924,0.0004674420380240821,0.36293904728179266,7.474251213773769e-05,0.0,0.0,0.0,0.0,273,0
NB propio,plus_draw_rates,4,8,"{""m"": 0.1}",three_class,0.42237910237910237,0.036000116772245606,0.3840525487804074,0.030096210414852245,0.47395856911299833,0.00019382001412363202,0.40633665749424686,0.00079824527859186,0.13803483247467252,0.02818207875864773,0.18515803939532752,0.03633305905878691,273,133
NB propio,plus_draw_rates,4,8,"{""m"": 0.1}",never_draw,0.4339654172987506,0.036505286571551755,0.3355656805240163,0.02674352521735591,0.47997438684639326,0.0003949428293651331,0.360910574423746,0.00023265206983339465,0.0,0.0,0.0,0.0,273,0
CategoricalNB,plus_draw_rates,4,8,"{""alpha"": 0.025}",three_class,0.42237910237910237,0.036000116772245606,0.3840525487804074,0.030096210414852245,0.47395856911299833,0.00019382001412363202,0.40633665749424686,0.00079824527859186,0.13803483247467252,0.02818207875864773,0.18515803939532752,0.03633305905878691,273,133
CategoricalNB,plus_draw_rates,4,8,"{""alpha"": 0.025}",never_draw,0.4339654172987506,0.036505286571551755,0.3355656805240163,0.02674352521735591,0.47997438684639326,0.0003949428293651331,0.360910574423746,0.00023265206983339465,0.0,0.0,0.0,0.0,273,0
NB propio,without_home_history,5,5,"{""m"": 0.1}",three_class,0.424690741357408,0.029626237778264616,0.3369377191599732,0.030886928406919676,0.48643028658835163,0.00039379749661497986,0.3788935328791035,0.011878574742594404,0.018339808664410744,0.013091264618597498,0.03250915750915751,0.02332020435576345,273,23
NB propio,without_home_history,5,5,"{""m"": 0.1}",never_draw,0.42785116118449457,0.03211702481897657,0.3282130578429068,0.02492452979846812,0.48653293037657264,0.0005341976808105337,0.3620994610774135,0.0002265529198097404,0.0,0.0,0.0,0.0,273,0
CategoricalNB,without_home_history,5,5,"{""alpha"": 0.025}",three_class,0.424690741357408,0.029626237778264616,0.3369377191599732,0.030886928406919676,0.48643028658835163,0.00039379749661497986,0.3788935328791035,0.011878574742594404,0.018339808664410744,0.013091264618597498,0.03250915750915751,0.02332020435576345,273,23
CategoricalNB,without_home_history,5,5,"{""alpha"": 0.025}",never_draw,0.42785116118449457,0.03211702481897657,0.3282130578429068,0.02492452979846812,0.48653293037657264,0.0005341976808105337,0.3620994610774135,0.0002265529198097404,0.0,0.0,0.0,0.0,273,0
NB propio,without_home_h2h,6,5,"{""m"": 0.1}",three_class,0.4273485773485774,0.03353404729463073,0.3440354448826604,0.02861360297570847,0.4790174113522036,0.0006244699720911707,0.38170033091272154,0.008557281974524392,0.028808597478776055,0.007790420478322676,0.050546611011727284,0.011862915064987089,273,37
NB propio,without_home_h2h,6,5,"{""m"": 0.1}",never_draw,0.4330272196938864,0.03091833742455941,0.3300469255838767,0.02593216945702651,0.4793058731176429,0.0002531157111130775,0.35399230532788944,0.0008275266977099082,0.0,0.0,0.0,0.0,273,0
CategoricalNB,without_home_h2h,6,5,"{""alpha"": 0.025}",three_class,0.4273485773485774,0.03353404729463073,0.3440354448826604,0.02861360297570847,0.4790174113522036,0.0006244699720911707,0.38170033091272154,0.008557281974524392,0.028808597478776055,0.007790420478322676,0.050546611011727284,0.011862915064987089,273,37
CategoricalNB,without_home_h2h,6,5,"{""alpha"": 0.025}",never_draw,0.4330272196938864,0.03091833742455941,0.3300469255838767,0.02593216945702651,0.4793058731176429,0.0002531157111130775,0.35399230532788944,0.0008275266977099082,0.0,0.0,0.0,0.0,273,0
