model,variant,variant_rank,n_features,parameters,decision,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,train_accuracy_mean,train_accuracy_std,train_macro_f1_mean,train_macro_f1_std,draw_recall_mean,draw_recall_std,draw_f1_mean,draw_f1_std,true_draws_total,predicted_draws_total
ID3,current,0,6,"{""min_info_gain"": 0.005}",three_class,0.4232608132608133,0.013472217083512445,0.38179801799197954,0.016158398131533754,0.5268141251825367,0.00092495724627397,0.4587254634425368,0.0029320879952834,0.1709707516280415,0.013614835707578835,0.23094087584295145,0.014639151724414542,273,132
ID3,current,0,6,"{""min_info_gain"": 0.005}",never_draw,0.4133776100442767,0.02014139060280713,0.30734772406481187,0.019403237807923166,0.5136352654016109,0.001026965732099229,0.3757303966297263,0.0015559644222812225,0.0,0.0,0.0,0.0,273,0
NB propio,current,0,6,"{""m"": 0.1}",three_class,0.43436736103402773,0.03540033442803695,0.3634820714268044,0.03220194914949022,0.48396138467219707,0.000581837163559054,0.39550153521648485,0.0006227830150434107,0.053773772640636874,0.02522327826774626,0.09383055216388551,0.043255010901361135,273,38
NB propio,current,0,6,"{""m"": 0.1}",never_draw,0.43617641617641617,0.030836436913034112,0.3372357772375116,0.022396865230313544,0.48526928769216054,0.00011174244893811028,0.3639456288899392,0.00021730927289974106,0.0,0.0,0.0,0.0,273,0
CategoricalNB,current,0,6,"{""alpha"": 0.025}",three_class,0.43436736103402773,0.03540033442803695,0.3634820714268044,0.03220194914949022,0.48396138467219707,0.000581837163559054,0.39550153521648485,0.0006227830150434107,0.053773772640636874,0.02522327826774626,0.09383055216388551,0.043255010901361135,273,38
CategoricalNB,current,0,6,"{""alpha"": 0.025}",never_draw,0.43617641617641617,0.030836436913034112,0.3372357772375116,0.022396865230313544,0.48526928769216054,0.00011174244893811028,0.3639456288899392,0.00021730927289974106,0.0,0.0,0.0,0.0,273,0
Random Forest,current,0,6,"{""max_depth"": null, ""min_samples_leaf"": 20}",three_class,0.4347019647019647,0.018507259181703338,0.42276728437233263,0.009563015487877724,0.5964534382103376,0.0012873510160552053,0.5893135139429683,0.0010902039393977316,0.32683464344801155,0.05436178380291025,0.32549153508629725,0.04381462765337068,273,275
Random Forest,current,0,6,"{""max_depth"": null, ""min_samples_leaf"": 20}",never_draw,0.43491483824817156,0.044707879972167686,0.3370224241228157,0.030437950008097285,0.5410242947531977,0.00044276585131865497,0.41392041487810277,0.0002446427808724594,0.0,0.0,0.0,0.0,273,0
ID3,plus_points,1,8,"{""min_info_gain"": 0.005}",three_class,0.4047563547563547,0.011286536372008875,0.3826862736214151,0.012605112805383664,0.5674948881066154,0.0007903313482773431,0.5278476613370807,0.0020524040816555953,0.24412784275569246,0.026682378824236776,0.27501714344240324,0.033066949466879034,273,213
ID3,plus_points,1,8,"{""min_info_gain"": 0.005}",never_draw,0.40761547094880424,0.02465834000965078,0.3080933700498918,0.021909430683540107,0.5360908959412539,0.0007360962344962806,0.3981211894921934,0.0004450063878486068,0.0,0.0,0.0,0.0,273,0
