model,class,precision,recall,f1,support
ID3,E,0.30357142857142855,0.2595419847328244,0.27983539094650206,131
ID3,L,0.49166666666666664,0.6210526315789474,0.5488372093023256,190
ID3,V,0.5,0.3973509933774834,0.44280442804428044,151
NB propio,E,0.35365853658536583,0.22137404580152673,0.27230046948356806,131
NB propio,L,0.5475113122171946,0.6368421052631579,0.5888077858880778,190
NB propio,V,0.44970414201183434,0.5033112582781457,0.475,151
CategoricalNB,E,0.35365853658536583,0.22137404580152673,0.27230046948356806,131
CategoricalNB,L,0.5475113122171946,0.6368421052631579,0.5888077858880778,190
CategoricalNB,V,0.44970414201183434,0.5033112582781457,0.475,151
Random Forest,E,0.2974683544303797,0.35877862595419846,0.32525951557093424,131
Random Forest,L,0.572463768115942,0.41578947368421054,0.4817073170731707,190
Random Forest,V,0.42613636363636365,0.4966887417218543,0.45871559633027525,151
Base 10 años,E,0.0,0.0,0.0,131
Base 10 años,L,0.5020746887966805,0.6368421052631579,0.5614849187935035,190
Base 10 años,V,0.4199134199134199,0.6423841059602649,0.5078534031413613,151
