subgroup,model,n_test,actual_E_L_V,correct,accuracy,macro_f1
Local > visitante,ID3,216,62/106/48,96,0.4444444444444444,0.35277001839572913
Local > visitante,NB propio,216,62/106/48,116,0.5370370370370371,0.37877918178786424
Local > visitante,CategoricalNB,216,62/106/48,116,0.5370370370370371,0.37877918178786424
Local > visitante,Random Forest,216,62/106/48,98,0.4537037037037037,0.41167767892407897
Local > visitante,Base 10 años,216,62/106/48,99,0.4583333333333333,0.3317455688409319
Local = visitante,ID3,39,9/15/15,18,0.46153846153846156,0.41524216524216523
Local = visitante,NB propio,39,9/15/15,15,0.38461538461538464,0.373719806763285
Local = visitante,CategoricalNB,39,9/15/15,15,0.38461538461538464,0.373719806763285
Local = visitante,Random Forest,39,9/15/15,14,0.358974358974359,0.3555555555555556
Local = visitante,Base 10 años,39,9/15/15,21,0.5384615384615384,0.40371621621621623
Local < visitante,ID3,217,60/69/88,98,0.45161290322580644,0.43012294598618334
Local < visitante,NB propio,217,60/69/88,95,0.4377880184331797,0.37411890760978944
Local < visitante,CategoricalNB,217,60/69/88,95,0.4377880184331797,0.37411890760978944
Local < visitante,Random Forest,217,60/69/88,89,0.41013824884792627,0.37074855099272414
Local < visitante,Base 10 años,217,60/69/88,98,0.45161290322580644,0.34144071907264967
