model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
NB propio,"{""m"": 0.1}",current,0,6,three_class,2021,13744,364,0.4832654249126892,0.39633801444082956,0.44505494505494503,0.36201298701298706,0.05357142857142857,0.0297029702970297,101,11,"[[3, 53, 45], [5, 77, 56], [3, 40, 82]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2021,13744,364,0.48537543655413273,0.3636762094417509,0.45054945054945056,0.34884162681048814,0.0,0.0,101,0,"[[0, 56, 45], [0, 81, 57], [0, 42, 83]]"
NB propio,"{""m"": 0.1}",current,0,6,three_class,2022,14108,297,0.48468953785086477,0.3953220735475351,0.4713804713804714,0.40363525943463247,0.15384615384615385,0.08860759493670886,79,12,"[[7, 37, 35], [4, 70, 32], [1, 48, 63]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2022,14108,297,0.48511482846611853,0.3639522962349718,0.46464646464646464,0.3569555394174131,0.0,0.0,79,0,"[[0, 44, 35], [0, 74, 32], [0, 48, 64]]"
NB propio,"{""m"": 0.1}",current,0,6,three_class,2023,14405,300,0.4839291912530371,0.3948445176610899,0.38666666666666666,0.3247979678327937,0.07407407407407407,0.043010752688172046,93,15,"[[4, 43, 46], [5, 68, 46], [6, 38, 44]]"
NB propio,"{""m"": 0.1}",current,0,6,never_draw,2023,14405,300,0.4853175980562305,0.36420838099309494,0.3933333333333333,0.30591016548463357,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 43, 45]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,three_class,2021,13744,364,0.4832654249126892,0.39633801444082956,0.44505494505494503,0.36201298701298706,0.05357142857142857,0.0297029702970297,101,11,"[[3, 53, 45], [5, 77, 56], [3, 40, 82]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,never_draw,2021,13744,364,0.48537543655413273,0.3636762094417509,0.45054945054945056,0.34884162681048814,0.0,0.0,101,0,"[[0, 56, 45], [0, 81, 57], [0, 42, 83]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,three_class,2022,14108,297,0.48468953785086477,0.3953220735475351,0.4713804713804714,0.40363525943463247,0.15384615384615385,0.08860759493670886,79,12,"[[7, 37, 35], [4, 70, 32], [1, 48, 63]]"
CategoricalNB,"{""alpha"": 0.025}",current,0,6,never_draw,2022,14108,297,0.48511482846611853,0.3639522962349718,0.46464646464646464,0.3569555394174131,0.0,0.0,79,0,"[[0, 44, 35], [0, 74, 32], [0, 48, 64]]"
