date,home,away,winner,model,joint_log_E,log_probability_E,joint_log_L,log_probability_L,joint_log_V,log_probability_V
2024-02-17,CA Fenix,Danubio,V,NB propio,-11.891996086515782,-1.5677271107220871,-12.726818909878425,-2.40254993408473,-10.679524223665483,-0.3552552478717885
2024-02-17,Miramar Misiones,CA Progreso,V,NB propio,-12.238749012391773,-1.375532424117667,-12.501786845190008,-1.6385702569159015,-11.455546229702207,-0.5923296414281012
2024-02-17,Nacional,River Plate,L,NB propio,-12.937073718546056,-2.421669511695441,-10.62909625686277,-0.11369205001215477,-14.494959792775598,-3.9795555859249827
2024-02-18,CA Cerro,Montevideo Wanderers,E,NB propio,-11.86161900768113,-1.186936665699946,-11.741762529995766,-1.0670801880145824,-11.722124802173383,-1.0474424601921992
2024-02-18,Deportivo Maldonado,Boston River,V,NB propio,-12.492574364760952,-1.143259508031326,-12.086587938487305,-0.7372730817576798,-12.944825248651718,-1.595510391922092
2024-02-18,Racing Club,Liverpool,E,NB propio,-12.533277099423065,-1.525061268175909,-12.035045766834147,-1.0268299355869903,-11.865643999623103,-0.8574281683759466
2024-02-19,Cerro Largo FC,CA Penarol,V,NB propio,-12.18230381856382,-1.4920318422535654,-11.079946426636507,-0.38967445032625214,-13.015026247402497,-2.3247542710922424
2024-02-23,River Plate,Deportivo Maldonado,L,NB propio,-12.318211534272637,-0.9674207233466969,-12.167434563768952,-0.8166437528430119,-13.076618704706274,-1.725827893780334
2024-02-24,Boston River,Danubio,E,NB propio,-12.363490110751183,-1.5320535867525802,-13.00351011216938,-2.172073588170777,-11.23196267934176,-0.40052615534315805
2024-02-24,Montevideo Wanderers,Racing Club,V,NB propio,-11.639852428881188,-0.9141251592027153,-12.043981271341838,-1.318254001663366,-11.829762118482991,-1.1040348488045186
2024-02-25,CA Penarol,Miramar Misiones,L,NB propio,-12.671952726526648,-1.7798077189375583,-11.116425831259289,-0.22428082367019897,-14.326731934941,-3.4345869273519103
2024-02-25,Cerro Largo FC,CA Fenix,E,NB propio,-11.980566863478401,-1.060025277251766,-11.508613309675987,-0.5880717234493513,-13.241741517824389,-2.3211999315977536
2024-02-25,Defensor Sporting,CA Cerro,L,NB propio,-11.963362172504638,-1.2155428596208395,-11.246269250093647,-0.4984499372098483,-13.091440334425625,-2.3436210215418267
2024-02-25,Liverpool,Nacional,E,NB propio,-12.544886861394849,-1.6109988441242233,-12.725303254120385,-1.79141523684976,-11.390244562297976,-0.4563565450273508
2024-03-01,CA Cerro,CA Progreso,V,NB propio,-11.90742204294122,-1.7649283778522395,-13.206194883157796,-3.0637012180688146,-10.3882836240726,-0.2457899589836181
2024-03-01,Miramar Misiones,Cerro Largo FC,V,NB propio,-12.245776155582282,-1.2186122496722298,-12.780281370574464,-1.7531174646644114,-11.659918416192202,-0.6327545102821492
2024-03-02,Racing Club,Defensor Sporting,V,NB propio,-12.184527004055653,-1.1889834682684857,-11.806415004129537,-0.8108714683423699,-12.377850765081478,-1.3823072292943106
2024-03-02,River Plate,Danubio,L,NB propio,-12.21114019371462,-1.1646037091532584,-12.457988434893885,-1.4114519503325234,-11.858096447955036,-0.811559963393675
2024-03-03,CA Fenix,Boston River,V,NB propio,-11.942595800053214,-1.0978652133865694,-12.434203143499083,-1.5894725568324386,-11.616089395632613,-0.7713588089659691
2024-03-03,Liverpool,Deportivo Maldonado,V,NB propio,-12.303694618067192,-1.4708867865136064,-11.160889933744011,-0.3280821021904252,-13.829051425759953,-2.9962435942063674
2024-03-03,Nacional,Montevideo Wanderers,L,NB propio,-12.4926916185019,-2.5790482487202446,-10.004898147643532,-0.0912547778618773,-14.390532940791743,-4.476889571010089
2024-03-04,Rampla Juniors Futbol Club,CA Penarol,V,NB propio,-12.297962588373537,-1.32379744438283,-12.79714603996663,-1.822980895975924,-11.532198179289859,-0.558033035299152
2024-03-09,CA Penarol,CA Cerro,L,NB propio,-12.65806041490867,-2.9347240618729966,-9.782286758389196,-0.058950405353522584,-15.219837778292316,-5.496501425256643
2024-03-09,Miramar Misiones,CA Fenix,E,NB propio,-11.860196717848499,-0.9979391834231865,-12.66619934913911,-1.8039418147137969,-11.624298194461156,-0.7620406600358436
2024-03-09,River Plate,Boston River,V,NB propio,-12.383404085538288,-1.0654302889863345,-12.386592654204637,-1.0686188576526838,-12.482925081884032,-1.1649512853320783
2024-03-10,CA Progreso,Racing Club,L,NB propio,-12.090375183265714,-1.613099344201455,-10.770432217098087,-0.293156378033828,-13.380876451008506,-2.9036006119442472
2024-03-10,Defensor Sporting,Nacional,E,NB propio,-12.6899774623459,-1.5875403208707581,-12.382441324159307,-1.2800041826841664,-11.761113251756392,-0.6586761102812506
2024-03-10,Liverpool,Danubio,V,NB propio,-12.224965957791492,-1.2661118059477285,-12.366463231641875,-1.407609079798112,-11.706781506956698,-0.7479273551129353
2024-03-11,Cerro Largo FC,Rampla Juniors Futbol Club,L,NB propio,-12.271555644651336,-1.4698048373496295,-11.147452790919388,-0.34570198361768156,-13.577444043927068,-2.7756932366253615
2024-03-11,Montevideo Wanderers,Deportivo Maldonado,E,NB propio,-12.165100018130067,-0.8962566312524576,-12.662904918405955,-1.3940615315283456,-12.336422759595315,-1.0675793727177059
2024-03-15,Boston River,Liverpool,E,NB propio,-12.130658178644214,-1.7568485454148757,-10.610057183948172,-0.23624755071883285,-13.648544369568866,-3.2747347363395267
2024-03-16,CA Fenix,River Plate,E,NB propio,-11.967752473371043,-1.2813409612470075,-12.873729478532674,-2.1873179664086386,-11.18051445765161,-0.4941029455275743
2024-03-16,Racing Club,CA Penarol,V,NB propio,-11.887433421144292,-2.3351848335085172,-13.522947561243274,-3.970698973607499,-9.675154161698519,-0.12290557406274338
2024-03-23,Nacional,CA Progreso,E,NB propio,-12.711006634403423,-1.7448720395510726,-11.391806445839796,-0.4256718509874453,-12.726383971618318,-1.7602493767659677
2024-03-23,Rampla Juniors Futbol Club,Miramar Misiones,E,NB propio,-12.118560618849653,-0.8756356678577717,-12.163372280183296,-0.9204473291914148,-12.929988946820856,-1.687063995828975
2024-03-24,CA Cerro,Cerro Largo FC,E,NB propio,-12.197288116249704,-2.1968829843383837,-13.88482385982233,-3.88441872791101,-10.141633324463491,-0.14122819255217145
2024-03-24,Danubio,Montevideo Wanderers,V,NB propio,-12.475844474304287,-2.166323732660894,-10.446387720065106,-0.13686697842171291,-14.628336853263384,-4.3188161116199915
2024-03-24,Deportivo Maldonado,Defensor Sporting,L,NB propio,-12.041674348471894,-1.4675167160835656,-13.045551722594793,-2.4713940902064646,-10.952441793027475,-0.37828416063914716
2024-03-27,CA Progreso,Rampla Juniors Futbol Club,L,NB propio,-12.628194391340847,-1.8546002872950673,-10.991909397340605,-0.21831529329482535,-14.002203084650105,-3.228608980604326
2024-03-29,CA Penarol,Nacional,E,NB propio,-12.583188212761586,-1.87005757633076,-10.97733234475025,-0.26420170831942436,-13.263324078566267,-2.5501934421354413
2024-03-29,Cerro Largo FC,Racing Club,V,NB propio,-11.89672627004941,-1.3800488774501236,-10.892457560450428,-0.37578016785114166,-13.302465545179833,-2.7857881525805475
2024-03-30,Defensor Sporting,Danubio,L,NB propio,-12.596123642885178,-1.6267580747721162,-11.26089111270377,-0.29152554459070856,-13.846226017572393,-2.876860449459331
2024-03-30,Liverpool,River Plate,E,NB propio,-11.947812471967215,-0.8492998387406043,-12.490958496180543,-1.3924458629539327,-12.226083630209887,-1.1275709969832768
2024-03-30,Rampla Juniors Futbol Club,CA Fenix,L,NB propio,-12.091244205395558,-0.9412595978994389,-11.913896084784724,-0.7639114772886053,-13.08776579718736,-1.9377811896912416
2024-03-31,CA Progreso,Deportivo Maldonado,L,NB propio,-12.526245674621261,-1.5906629888486155,-11.252653160451356,-0.31707047467870986,-13.624858496773923,-2.689275811001277
2024-03-31,Miramar Misiones,CA Cerro,E,NB propio,-12.270910535886213,-0.9604716624731893,-12.708893957458791,-1.398455084045768,-12.303855178207577,-0.9934163047945539
2024-04-01,Montevideo Wanderers,Boston River,V,NB propio,-11.751800218119454,-1.6523345891901027,-12.93387973097154,-2.8344141020421887,-10.387621164002994,-0.288155535073642
2024-04-06,Boston River,Defensor Sporting,E,NB propio,-12.620099494081982,-1.6533568381287775,-12.374203371906892,-1.4074607159536878,-11.539745730957922,-0.573003075004717
2024-04-06,Danubio,CA Progreso,E,NB propio,-11.890705328929497,-1.8171925639004485,-13.249741036154035,-3.1762282711249856,-10.301950390381403,-0.22843762535235435
2024-04-06,Nacional,Cerro Largo FC,L,NB propio,-11.83680715052295,-1.1913873310444174,-11.637765431209257,-0.9923456117307232,-11.76782996064444,-1.122410141165906
2024-04-06,Racing Club,Miramar Misiones,E,NB propio,-12.077156269330073,-1.0389023789047993,-11.738715812303406,-0.7004619218781318,-12.936700270676088,-1.8984463802508138
